County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
AL: Autauga,32%,35%,6.5,32%,63%,16%,13%,38%,12%,61%,0.06,4.9%,"$67,600",28%,149,15%,87%,41%,75%,83%,89%,,,,
AL: Baldwin,32%,30%,7.4,28%,75%,13%,8%,36%,14%,66%,0.09,5.6%,"$71,100",18%,408,12%,83%,38%,77%,85%,90%,,,,
AL: Barbour,38%,40%,5.7,42%,50%,21%,10%,41%,17%,38%,0.04,7.0%,"$38,900",54%,106,15%,84%,37%,62%,65%,75%,,,,
AL: Bibb,21%,41%,7.6,38%,11%,16%,0%,40%,14%,38%,0.09,6.6%,"$50,900",37%,20,11%,88%,55%,75%,76%,81%,,,,
AL: Blount,15%,39%,7.8,33%,23%,15%,3%,39%,18%,56%,0.11,4.1%,"$55,200",23%,279,10%,88%,60%,76%,80%,83%,,,,
AL: Bullock,35%,44%,4.6,41%,2%,16%,32%,45%,15%,28%,0.01,5.5%,"$33,100",59%,33,17%,80%,47%,74%,61%,75%,,,,
AL: Butler,35%,40%,6.9,41%,42%,17%,7%,42%,15%,37%,0.11,8.8%,"$42,300",41%,117,13%,86%,37%,73%,74%,86%,,,,
AL: Calhoun,14%,36%,5.9,33%,49%,17%,15%,38%,15%,58%,0.21,7.1%,"$50,300",31%,871,13%,85%,30%,70%,80%,85%,,,,
AL: Chambers,30%,40%,7,37%,57%,15%,8%,41%,15%,54%,0.16,6.8%,"$39,300",32%,181,15%,87%,31%,67%,75%,83%,,,,
AL: Cherokee,18%,34%,7.2,36%,25%,16%,5%,38%,16%,53%,0.07,4.6%,"$50,400",20%,86,11%,86%,46%,78%,75%,83%,,,,
AL: Chilton,22%,39%,7,35%,40%,17%,4%,39%,18%,42%,0.07,5.0%,"$52,700",26%,223,15%,86%,49%,75%,75%,82%,,,,
AL: Choctaw,57%,40%,5.8,38%,24%,19%,13%,42%,15%,64%,0.14,6.7%,"$41,600",44%,17,12%,86%,49%,82%,63%,83%,,,,
AL: Clarke,33%,44%,5.4,40%,33%,19%,18%,43%,15%,43%,0.03,9.0%,"$44,200",36%,116,13%,89%,43%,73%,63%,83%,,,,
AL: Clay,39%,37%,7.3,37%,57%,17%,3%,39%,18%,37%,0.01,4.0%,"$44,800",25%,42,10%,89%,38%,77%,72%,81%,,,,
AL: Cleburne,31%,36%,7.1,34%,41%,18%,2%,38%,16%,50%,0.12,4.6%,"$50,100",18%,16,11%,86%,59%,77%,71%,82%,,,,
AL: Coffee,33%,35%,6.9,33%,55%,16%,9%,37%,17%,63%,0.08,4.4%,"$54,200",30%,142,10%,86%,30%,68%,83%,86%,,,,
AL: Colbert,28%,36%,6.7,33%,43%,17%,9%,40%,13%,56%,0.07,6.6%,"$54,200",32%,218,12%,87%,27%,72%,73%,86%,,,,
AL: Conecuh,14%,41%,6.4,40%,36%,16%,13%,44%,15%,46%,0.23,7.3%,"$34,700",51%,48,10%,88%,42%,75%,62%,85%,,,,
AL: Coosa,30%,39%,7.1,35%,4%,15%,8%,41%,13%,44%,0.01,5.5%,"$46,500",33%,27,10%,79%,37%,81%,76%,83%,,,,
AL: Covington,21%,37%,6.8,36%,55%,18%,5%,38%,16%,52%,0.09,4.9%,"$43,500",27%,125,12%,88%,29%,74%,75%,85%,,,,
AL: Crenshaw,50%,36%,6.5,36%,21%,16%,14%,39%,17%,50%,0.03,5.7%,"$45,900",35%,45,9%,78%,48%,77%,67%,79%,,,,
AL: Cullman,28%,33%,7.4,34%,45%,16%,3%,37%,17%,55%,0.05,4.3%,"$51,800",19%,106,12%,87%,33%,75%,79%,82%,,,,
AL: Dale,22%,38%,6.5,33%,27%,18%,9%,41%,15%,60%,0.1,4.9%,"$48,500",30%,214,14%,83%,26%,59%,81%,85%,,,,
AL: Dallas,39%,47%,6.2,41%,56%,19%,9%,44%,14%,55%,0.32,10.7%,"$37,700",64%,380,18%,89%,31%,57%,72%,84%,,,,
AL: DeKalb,27%,35%,,41%,39%,17%,,39%,24%,51%,0.16,4.5%,"$47,200",20%,196,12%,84%,33%,73%,78%,78%,,,,
AL: Elmore,36%,36%,7.6,33%,45%,14%,5%,39%,11%,55%,0.08,4.9%,"$62,500",23%,195,11%,86%,44%,75%,84%,87%,,,,
AL: Escambia,31%,39%,6.8,39%,40%,18%,6%,43%,19%,38%,0.2,6.0%,"$41,200",42%,169,11%,91%,25%,66%,66%,80%,,,,
AL: Etowah,13%,35%,6.2,34%,45%,17%,13%,39%,16%,56%,0.24,7.7%,"$47,900",34%,619,10%,88%,30%,73%,80%,85%,,,,
AL: Fayette,26%,37%,7.1,35%,26%,19%,0%,40%,15%,49%,0.11,5.0%,"$45,900",29%,,11%,82%,45%,75%,70%,84%,,,,
AL: Franklin,15%,38%,7.1,37%,52%,16%,6%,39%,20%,43%,0.18,4.4%,"$40,400",33%,83,10%,83%,40%,71%,63%,79%,,,,
AL: Geneva,26%,36%,6.6,35%,23%,20%,4%,38%,19%,48%,0.04,4.1%,"$39,900",27%,111,12%,86%,39%,75%,71%,82%,,,,
AL: Greene,38%,47%,4.2,46%,4%,22%,23%,48%,15%,50%,,10.9%,"$33,600",70%,55,18%,73%,39%,69%,56%,81%,,,,
AL: Hale,43%,44%,6.8,40%,26%,17%,7%,43%,15%,50%,0.29,9.4%,"$41,800",51%,29,15%,91%,52%,76%,63%,81%,,,,
AL: Henry,24%,39%,7.2,35%,24%,15%,8%,40%,16%,51%,0.09,4.8%,"$51,100",24%,34,9%,86%,37%,83%,78%,80%,,,,
AL: Houston,33%,40%,7.2,36%,71%,16%,4%,40%,17%,59%,0.18,5.4%,"$54,400",33%,508,13%,88%,25%,66%,78%,87%,,,,
AL: Jackson,24%,39%,6.8,36%,34%,18%,5%,40%,17%,50%,0.11,5.3%,"$46,600",25%,163,11%,86%,41%,77%,75%,83%,,,,
AL: Jefferson,14%,34%,6.8,30%,73%,14%,13%,40%,14%,69%,0.36,6.2%,"$57,800",36%,5623,16%,82%,35%,63%,83%,91%,,,,
AL: Lamar,24%,36%,7.1,37%,7%,19%,0%,39%,15%,49%,0.01,4.9%,"$40,200",28%,23,9%,90%,43%,73%,65%,83%,,,,
AL: Lauderdale,18%,33%,7.2,30%,52%,16%,6%,38%,15%,58%,0.2,5.5%,"$52,300",26%,248,12%,86%,32%,68%,77%,89%,,,,
AL: Lawrence,23%,36%,6.8,35%,47%,18%,5%,39%,18%,53%,0.13,4.9%,"$48,900",24%,84,10%,89%,50%,78%,67%,81%,,,,
AL: Lee,30%,34%,6.8,29%,64%,15%,11%,39%,13%,74%,0.1,5.2%,"$59,000",27%,652,19%,83%,28%,63%,85%,90%,,,,
AL: Limestone,25%,34%,7.4,31%,55%,14%,6%,39%,15%,61%,0.08,4.3%,"$70,900",18%,147,11%,89%,42%,77%,83%,85%,,,,
AL: Lowndes,30%,46%,5.1,43%,1%,19%,20%,46%,14%,42%,0.09,13.3%,"$37,500",52%,56,17%,86%,59%,75%,53%,82%,,,,
AL: Macon,28%,40%,5.6,39%,34%,15%,22%,45%,13%,54%,0.06,9.6%,"$37,700",53%,138,18%,85%,39%,65%,67%,84%,,,,
AL: Madison,33%,33%,7.4,28%,68%,13%,9%,38%,11%,75%,0.13,4.6%,"$67,800",27%,2155,12%,85%,27%,68%,88%,92%,,,,
AL: Marengo,25%,44%,6.1,40%,42%,17%,13%,43%,14%,51%,0.17,6.2%,"$43,200",50%,88,14%,86%,36%,70%,66%,85%,,,,
AL: Marion,25%,36%,7,34%,40%,19%,1%,38%,16%,58%,0.06,5.1%,"$44,300",22%,89,12%,87%,27%,76%,70%,81%,,,,
AL: Marshall,21%,38%,6.5,36%,50%,17%,10%,38%,21%,54%,0.16,4.2%,"$51,400",27%,272,14%,86%,33%,73%,84%,83%,,,,
AL: Mobile,33%,36%,6.8,32%,62%,16%,10%,41%,17%,59%,0.26,7.9%,"$50,900",36%,2273,16%,86%,36%,64%,78%,87%,,,,
AL: Monroe,20%,41%,5.8,41%,41%,20%,11%,43%,16%,35%,0.35,8.2%,"$38,800",44%,105,10%,91%,29%,68%,48%,83%,,,,
AL: Montgomery,30%,38%,6.8,32%,59%,15%,11%,43%,15%,65%,0.23,7.8%,"$49,600",44%,1200,18%,83%,21%,58%,83%,87%,,,,
AL: Morgan,19%,35%,7.1,31%,56%,15%,8%,36%,16%,54%,0.21,4.5%,"$55,700",24%,216,12%,89%,34%,72%,77%,84%,,,,
AL: Perry,70%,46%,4.1,43%,52%,20%,28%,45%,16%,42%,,10.9%,"$33,700",67%,22,19%,80%,50%,78%,54%,78%,,,,
AL: Pickens,23%,40%,7.2,38%,4%,18%,1%,42%,15%,50%,0.3,6.5%,"$41,900",44%,35,11%,84%,60%,76%,71%,83%,,,,
AL: Pike,30%,36%,6.5,34%,61%,17%,10%,41%,17%,63%,0.05,4.9%,"$43,100",42%,188,16%,85%,26%,64%,70%,87%,,,,
AL: Randolph,56%,35%,6.5,35%,37%,16%,13%,38%,16%,48%,0.1,4.7%,"$46,700",28%,45,13%,87%,44%,79%,76%,82%,,,,
AL: Russell,17%,39%,6.9,36%,59%,17%,7%,43%,15%,65%,0.06,5.1%,"$40,800",43%,306,17%,85%,38%,60%,74%,85%,,,,
AL: Shelby,22%,30%,8.2,24%,79%,11%,6%,33%,11%,78%,0.07,3.9%,"$88,400",16%,419,10%,84%,50%,80%,91%,93%,,,,
AL: St. Clair,17%,35%,7.8,32%,51%,14%,2%,37%,13%,58%,0.05,4.9%,"$62,000",18%,261,11%,87%,56%,80%,82%,86%,,,,
AL: Sumter,31%,44%,5.9,40%,29%,20%,11%,44%,16%,58%,0.35,7.0%,"$32,300",56%,57,19%,83%,40%,63%,65%,85%,,,,
AL: Talladega,24%,37%,6.8,36%,42%,17%,8%,42%,14%,54%,0.12,7.0%,"$44,800",36%,378,13%,84%,36%,71%,79%,82%,,,,
AL: Tallapoosa,24%,39%,7.3,37%,63%,16%,3%,40%,15%,48%,0.08,6.9%,"$46,700",42%,258,16%,84%,40%,75%,77%,81%,,,,
AL: Tuscaloosa,28%,38%,7.4,31%,74%,14%,7%,42%,12%,65%,0.26,6.6%,"$56,600",34%,819,16%,83%,27%,63%,82%,90%,,,,
AL: Walker,22%,35%,6.8,36%,35%,19%,4%,41%,17%,56%,0.1,5.8%,"$46,500",29%,292,12%,84%,41%,78%,76%,82%,,,,
AL: Washington,30%,40%,6.8,38%,5%,18%,4%,40%,17%,58%,0.15,8.0%,"$36,300",27%,41,10%,87%,52%,89%,69%,86%,,,,
AL: Wilcox,41%,45%,4.5,44%,1%,20%,24%,44%,15%,41%,,14.7%,"$31,900",64%,72,10%,87%,43%,70%,63%,79%,,,,
AL: Winston,19%,38%,7,38%,76%,19%,2%,39%,16%,51%,0.12,4.7%,"$46,500",29%,24,10%,76%,48%,80%,71%,78%,,,,
